nr_isbn13,nr_egzemplarza,tytul,nr_edycji,autor,rok_wydania,czy_dostepne_online,liczba_stron,id_kategorii,id_filii
978-0-17-708466-9,3,Brązowy zamiast 6 dziób min,4,Eryk Heinrich,1958,True,950,31,4
978-1-175-67709-9,1,Nasz trzymać nosić,5,Franciszek Koral,2019,False,,30,9
978-0-215-11976-6,3,Odważny uzyskać dziewczynka wyrób żywność,2,Filip Supeł,1998,False,996,48,2
978-1-239-51888-7,2,Uciekać błoto Słowacja,,pan Kacper Wisz,1988,False,683,4,10
978-1-74606-676-5,3,Polować pierwiastek konflikt ciecz dopiero powierzchnia 4,3,pani Kornelia Sobisz,1996,False,116,43,2
978-0-657-98650-6,3,Własność okno no wykonywanie rolnik park wolność serce,5,Cyprian Kopyt,1957,False,203,16,3
978-1-877635-54-0,3,Kontynent państwowy pojemnik,,pani Karina Orkisz,1983,True,116,37,4
978-1-86197-060-2,3,Siostra nasz serce właśnie dar,2,Cezary Wyskiel,2019,False,264,13,4
978-1-08-529645-8,3,Przeszłość stanowić brać związek pragnienie,,pani Aurelia Sady,1987,True,877,4,3
978-0-18-690645-7,1,Nie królowa pragnąć otwarty ryż zawodnik,5,Inga Mojsa,1976,False,,31,8
978-1-77635-500-6,2,Sprawiać oba tylko ćwiczenie,4,Andrzej Dziarmaga,1955,True,799,36,4
978-0-629-32332-2,1,Pieśń gdzieś,,Borys Rogacz,2007,True,741,33,7
978-0-439-39396-6,3,Wyglądać spotkać nadzieja,,Ernest Korniak,2017,True,895,10,6
978-0-02-953068-9,2,Aby nadawać ogon,4,Sandra Ciuba,1968,True,373,24,7
978-0-566-38642-8,3,Zespół cecha otwór religia zaś mąż,1,pan Oliwier Komuda,1971,False,405,9,10
978-0-509-22758-0,2,Brzydki prostytutka późno,,Apolonia Pietryga,1964,False,709,4,5
978-1-206-93939-4,2,Partia chrześcijański,4,Olgierd Gemza,1992,False,425,26,3
978-0-370-44362-1,3,Ochrona skład procent Anglia wczoraj użytkownik handlowy przyczyna,3,Ryszard Gągała,2015,False,704,8,1
978-1-09-298075-3,3,Poeta cecha,5,Jeremi Stroka,2017,False,239,47,3
978-0-509-71335-9,2,Płaszcz skrzydło pokazywać umieścić jeśli,,pan Stefan Ryguła,2002,False,,30,8
978-0-438-10317-7,3,Katastrofa drewniany siódmy oczywiście,3,Artur Słoka,1996,True,981,27,1
978-1-74105-282-4,2,Już fala rzeczownik po,5,Sonia Chlipała,1955,False,318,10,4
978-1-247-60104-5,3,0,5,Kazimierz Elert,2006,False,432,41,9
978-0-7868-0509-9,3,Doskonały jakość brzuch przeszłość martwy gwiazda,5,Kornel Fijoł,1986,False,440,7,4
978-0-912300-56-6,2,Klucz przeciwnik gdzie,3,Witold Smorąg,2025,False,851,20,4
978-0-9976219-1-4,1,Osiem teren obowiązywać trochę żart akcja,,pani Natasza Juroszek,1984,False,261,8,3
978-0-89874-448-4,1,Wysoko obszar urodzić koło córka ksiądz kiedyś,3,Oliwier Krefta,2005,True,183,17,5
978-1-926971-71-1,3,Wyspa korzeń noga widok podobny energia,3,pan Bartek Patalas,1963,False,802,16,6
978-0-408-96294-0,3,Kura dziesięć zachodni dostęp zadanie radio waluta gospodarka,2,Lidia Zawalich,1992,True,691,3,9
978-1-7368283-2-8,3,Duży olej przeszkoda czynnik niezwykły wcześnie powoli,2,Jędrzej Żołądź,2003,False,676,40,10
978-1-4225-9710-1,3,Siedemdziesiąt termin decyzja prawo ciepły telewizyjny prąd,1,Juliusz Bacik,1963,False,913,4,3
978-1-5330-3269-0,3,Człowiek zmieniać cebula dowód ładny do,3,Ksawery Celuch,1956,True,429,41,9
978-1-914112-55-3,3,Tarcza - głośny noc pierś królowa złoto poważny jednak wszystek,1,Dominik Motak,1988,True,103,23,7
978-1-4505-7968-1,3,Przybyć podczas jakość wysiłek anioł papież,5,Eliza Strzoda,2014,False,773,34,6
978-0-313-71004-9,1,Służba zawodowy kultura,,Mateusz Jaśko,2016,True,717,28,8
978-1-391-16443-4,1,Numer pokonać twarz ulica,,Maksymilian Legutko,1986,False,681,9,3
978-0-8267-6031-9,2,Dziadek jajo surowy jeśli wysoki,,Róża Welenc,1991,True,893,45,10
978-1-04-995153-9,1,Wieś dziura królowa ich,2,Leon Filak,1973,False,279,7,9
978-1-4312-3938-2,2,Pomieszczenie komputerowy surowy dać się,1,Marcelina Kowala,1981,False,582,26,8
978-0-8010-7865-1,3,Radio współczesny chronić ostry,,Kajetan Matejczyk,1990,True,459,46,2
978-1-00-681804-2,2,Letni miękki wspomnienie,5,Liwia Zinkiewicz,1963,True,637,14,10
978-0-7438-1710-3,3,Twardy ochrona ci droga wokół,1,Artur Breguła,1977,True,358,46,4
978-0-7863-8976-6,2,Kult wokół rzecz Jezus,,pani Anastazja Pyszczek,1982,True,960,38,9
978-0-315-81323-6,2,Długość stan,,Sandra Włodyka,1970,False,313,32,7
978-1-73074-940-7,2,Rozumieć podnieść szacunek azjatycki,3,Aurelia Miara,1980,False,362,41,6
978-0-85114-474-0,3,Gęsty my powoli,3,Sara Andziak,1993,True,610,4,5
978-0-271-20604-2,1,Zazwyczaj koncert jednocześnie pragnąć,2,Kornelia Starzak,1993,False,960,21,7
978-0-370-55241-5,2,Chleb doprowadzić poznać kolejny,,Nela Wita,2024,True,477,17,6
978-1-151-03838-8,1,Okno przyjaciel złapać,1,Maciej Jarema,1953,True,839,27,6
978-0-7015-7259-4,3,Temu rzadko,,Mieszko Plebanek,1986,False,257,23,2
978-0-494-47653-6,2,Stopa pasmo powstać znowu,1,Nicole Tomzik,2016,True,583,13,4
978-0-311-01302-9,2,Klucz urzędnik kształt postawić ci tajemnica źle ciasto społeczny seks,2,Marcelina Kielan,1995,False,866,31,3
978-1-376-73552-9,2,Kuchnia uniwersytet żelazo,,Sylwia Koss,1998,True,298,42,4
978-0-7941-8868-9,2,Każdy ile szeroki spaść pomóc papieros obiad podnosić chłopiec,3,Kamil Siergiej,2020,False,908,35,6
978-0-940061-00-2,3,Żelazo wzrok ochrona słowo łagodny,2,pan Tomasz Przekop,1967,False,973,17,4
978-1-08-168578-2,2,Piąty różowy związek lata trwały talerz zajęcie moneta środowisko,,Krzysztof Sałuda,1983,False,906,15,8
978-1-255-36053-8,2,Może handlowy,3,Marcin Węgrzynowicz,2009,True,324,39,10
978-0-428-41379-8,2,Lis święty główny metoda,,Mikołaj Kondej,1978,False,,12,3
978-1-214-83962-4,1,Kwestia spotkanie,,pani Monika Kałwa,2023,False,388,50,4
978-0-559-09375-3,1,Podział figura,3,Nataniel Boguś,1998,True,486,15,3
978-1-5467-4860-1,1,Pasek zrobić pogląd 3 średniowieczny okres,5,pani Sandra Hinca,2012,False,189,35,9
978-1-04-234270-9,3,Wrogość centrum gotowy samiec my smak świnia,5,Ewelina Chatys,1954,True,106,49,6
978-0-8093-2164-3,1,Początek drogi Ukraina plama pojawić się rozwiązanie dziewięć aby,1,pan Maksymilian Hanzel,2013,True,602,13,2
978-1-59005-553-3,1,Wyraz żona,,Aurelia Dziewa,1951,True,957,37,8
978-0-570-74200-5,1,Firma ani środek mąka deszcz,,Konstanty Pokrzywa,2014,False,581,29,5
978-0-933426-49-8,3,Krew organizacja nowy łaciński obejmować szczęście,5,Kaja Sławik,1988,True,884,35,4
978-1-329-68267-2,1,Barwa poważny tworzyć,5,pani Klara Bittner,1986,True,973,23,8
978-1-65636-536-1,3,Lub wywołać wykonywanie pojechać dać patrzeć narzędzie sędzia zbyt,3,pan Arkadiusz Zarzeczna,2005,True,912,43,10
978-1-157-82215-8,3,Nawet polityk środa ciepły podział składać poprzez linia,1,Sebastian Gołota,2021,True,,29,5
978-1-60647-905-6,1,Lewy pas planeta Belgia Białoruś grzech,4,Gustaw Oślizło,1971,False,164,26,5
978-0-499-18354-5,2,Użycie cisza składać zapomnieć lubić niedziela oddział urodzić się chwila,5,pan Jędrzej Pyda,1997,True,935,33,3
978-0-940801-39-4,2,Komputer zjeść,1,Kacper Midura,1972,False,541,9,9
978-0-352-90158-3,3,Tradycja przyszłość dzięki samochodowy jabłko,,pan Robert Leśny,2001,True,153,44,1
978-0-18-660977-8,3,Rozpocząć otrzymać np łagodny kara świątynia,3,Rafał Miodek,1957,False,272,39,8
978-1-4402-6378-1,3,Istota wykonanie stosunek bawić się wyrażenie babcia,,Konstanty Dybiec,2022,True,223,2,3
978-1-02-473557-4,1,Z Powodu kosz sklep sprawa,2,Kazimierz Szykuła,1998,True,493,15,7
978-1-61901-478-7,2,Metalowy sprzedaż kij pełnić,2,pan Andrzej Pianka,1993,False,145,9,7
978-1-299-90305-0,2,Żona zajmować się prędkość szereg osobisty angielski korzystać komórka,,Adam Banak,1956,False,240,34,1
978-1-77022-041-6,2,Pochodzić kierować zakład lipiec,,Stefan Węgrzynowicz,1983,True,481,23,9
978-0-339-42885-0,2,Niech wybuch złożony karta pokój medycyna błąd doprowadzić pani,,Józef Cacko,1961,True,,44,8
978-0-949663-93-1,2,Szczęście pojemnik próbować inny wśród,,Lidia Raczkiewicz,2005,False,865,5,7
978-1-5316-8498-3,3,Sobie kupować delikatny atak Indie mocno,1,pan Jan Siemieniec,1998,False,683,46,6
978-1-380-19459-6,2,Prywatny sen system,2,Adrianna Fedyk,2009,True,690,8,8
978-0-7168-9240-3,3,Cmentarz wypadek przyszły ozdoba jesień linia,1,pani Anna Maria Spadło,1989,True,634,46,3
978-1-955197-80-9,3,Właśnie jako smutny spadać niektóry,1,pan Aleksander Patyna,2000,False,513,7,7
978-1-933432-97-7,3,Azjatycki otaczać dziewczyna pasek głupek,2,Kalina Melka,2023,False,393,19,1
978-1-891912-49-8,1,Za Pomocą lud warunek,3,pani Ewelina Stąpór,2019,False,922,27,4
978-0-225-42489-8,1,Drugi farba specjalista czynić pod stać pełny styczeń bank,4,Elżbieta Kacperek,1967,False,398,2,6
978-0-377-63374-2,3,Kolano uciec,2,pani Monika Chaberek,1958,True,118,32,3
978-1-376-46797-0,2,Oddawać tablica dzisiejszy poznać szkoła,5,Kazimierz Pastuła,1953,True,201,49,1
978-1-378-94633-6,1,Zwrot wcześnie słowo,,Wojciech Bienia,2007,False,360,18,4
978-1-344-54820-5,3,Wyrażać zapis znak liczba atomowa,3,Filip Hadała,2014,False,163,38,1
978-0-07-277102-2,1,Ciągnąć pozostawać świat podstawa wejście wola leżeć,2,Albert Rudolf,1972,False,120,23,5
978-0-209-36193-5,1,Ryż biały radiowy katastrofa powstawać,3,Alex Buś,1992,True,282,40,3
978-1-919111-92-6,3,Szwajcaria kij wtedy,,pan Wiktor Ochał,2009,True,556,42,6
978-1-4137-3348-8,1,Dzieło flaga interes,1,Kornel Szeja,2014,False,575,2,2
978-1-890197-41-4,1,Choć tani ogólny,5,Kornelia Kochel,2006,False,116,8,5
978-0-04-303736-2,1,Stracić człowiek plecy wniosek,5,Natan Molek,1975,False,962,11,4
978-1-4890-3560-8,3,Sport jeżeli wniosek oznaczać miejsce ziemia,4,Anna Maria Bilik,1967,False,419,24,10
978-0-19-581616-7,3,Centrum część seks inny niebieski,2,pan Jędrzej Zagożdżon,1994,False,,15,1
978-1-4010-2506-9,2,3 służyć podstawa okrągły dawno kolega ich sport użytkownik urząd człowiek,4,Eryk Przewłoka,1972,False,,9,9
978-0-515-56052-7,3,Słaby pusty głupi,,Mikołaj Zimoń,2015,False,,42,4
978-1-353-54439-7,3,Coś oglądać okno fizyczny,4,Kornel Gromala,1996,False,745,47,6
978-1-76020-033-6,1,Australia lina telewizja 4 mleko zarówno dyrektor dodatek tłumaczyć niebezpieczny,3,pani Olga Roda,2006,False,803,4,3
978-1-55570-295-3,1,Ofiara zbyt on dzielić,4,pani Anastazja Knapek,2001,True,630,31,5
978-1-07-251839-6,2,Muzeum określać oznaczać dźwięk procent centralny,3,pani Nicole Bejnarowicz,2016,False,569,45,2
978-0-418-21325-4,1,Siebie lecz mało wybierać początek,3,Jędrzej Sypek,1992,False,607,10,2
978-0-9705582-2-0,1,Obywatelka prawo zajęcie martwy krew,2,pan Oliwier Kustosz,1968,True,838,50,3
978-0-9740494-2-7,2,Leczenie zakład literatura mieszkaniec wyglądać fałszywy,1,pani Karina Boś,2023,False,,32,1
978-1-58242-028-8,2,Nadzieja trzydziesty skład,3,Bartek Neska,2002,False,179,2,1
978-1-133-09310-7,1,Przedsiębiorstwo powstanie wrzesień,1,pani Anna Maria Pych,1983,False,817,39,5
978-1-75101-149-1,1,Razem pies wioska stworzyć zupełnie polityczny,,pani Blanka Białczyk,1956,False,826,42,1
978-1-358-71890-8,3,W Postaci samochód cena słownik kawa,4,Nikodem Rajda,1991,True,517,1,7
978-0-260-64002-4,2,Niemiec południowy obowiązek przyjmować królowa sprzęt,3,Mikołaj Macek,2015,False,620,45,6
978-1-237-78812-1,3,Przeprowadzać partia ogół umrzeć określony 7,,Kalina Matyjasek,1989,False,395,15,6
978-0-403-40789-7,1,Kontrola sztuczny,3,Andrzej Kutek,1997,True,503,9,3
978-0-601-01988-5,2,Organizacja Dania Wielka Brytania wojenny statek,,Krzysztof Prawdzik,2002,False,988,29,8
978-1-67010-142-6,2,Literacki nieść,,Kamila Zasępa,1987,False,,32,7
978-0-288-73872-7,2,Sześćdziesiąt gospodarczy okno czas drogi piętnaście pozycja wokół komórka,2,Anita Tomys,1976,True,654,24,9
978-0-588-56680-8,3,Układ określenie głęboki,4,Jacek Kołata,2002,False,594,33,7
978-1-70570-803-3,1,Proces jaki lekki chyba Ziemia pojechać trzeba min,3,Paweł Saj,1994,True,103,23,8
978-1-933132-56-3,2,Wspomnienie spać przeciw piątek,,Anita Miozga,1994,False,954,50,2
978-0-9805132-2-6,1,Średni do wyrok,1,Melania Martin,1993,False,130,23,8
978-1-7395417-5-0,2,Przygotowywać zaś kawa efekt gatunek,2,pan Patryk Klyta,2001,False,,15,7
978-1-115-71545-4,2,Obwód rzeka dziadek skutek gość pogoda,2,Anita Niemczuk,1968,False,215,17,8
978-0-7866-8456-4,2,Okazja istota jakby rządzić szef istnienie 5 spać,1,Adrianna Cyman,1996,True,144,31,10
978-0-08-529066-4,1,Wtedy mocny łatwy,1,Krzysztof Lepianka,1952,False,416,21,8
978-1-200-40846-9,2,Teoria naukowiec klub jazda koszula kolor siedem natura,1,Malwina Kolarz,2007,False,316,1,7
978-1-71820-239-9,1,Tajemnica kochać matematyka siódmy zdarzenie zapomnieć miękki,2,Kalina Bilewicz,1972,False,911,17,2
978-0-605-22847-4,3,Centrum uchodzić całkowicie,5,pani Aurelia Dynak,1962,False,448,14,10
978-0-8258-6075-1,1,Wątpliwość rodzaj promień,,Gabriel Pachołek,1985,False,,44,5
978-0-673-27620-9,2,Łąka pozostać Azja siebie dzieło,5,Dariusz Osman,2021,False,397,30,10
978-0-396-73451-2,2,Drewniany chłopak farba anioł zupa,,Szymon Iwanow,1997,True,,25,9
978-0-347-04029-7,2,Pas Bóg nasienie nie- majątek wzrost cmentarz prasa trudność,,Jerzy Gramza,2009,False,384,8,7
978-0-18-480132-7,2,Działanie polityk,,pani Anastazja Wojewodzic,1951,True,109,24,2
978-1-63613-568-7,2,Dlatego łatwo broń,1,pan Arkadiusz Gamoń,2003,True,749,50,5
978-1-5047-0503-5,2,Właściwy wnętrze podawać bić metoda,,Rafał Fijak,2015,False,937,17,8
978-0-598-53437-8,2,Przeznaczyć środek kontakt fragment poeta owad historia Unia Europejska wolność,,Natan Igras,1988,False,982,36,4
978-0-661-42940-2,3,Czwartek jeżeli pracownik 1000 rozpocząć włoski jedzenie ryż,3,Aniela Szymocha,1992,True,610,38,2
978-1-911300-42-7,3,Wysoki rozpocząć kot władca wesoły,2,pan Eryk Wyderka,1965,True,849,13,8
978-1-65921-280-8,1,Wykonać matka siedem przejaw,1,pani Blanka Trojanek,2001,False,715,44,6
978-0-355-44920-4,1,Przejaw rano paliwo właściciel,,Eliza Fiołka,2022,True,714,13,3
978-1-189-29681-1,2,Projekt białoruski nadawać pytać ogromny głupi,5,Fryderyk Kubaczyk,2022,True,474,40,5
978-0-306-29914-8,1,Przemysł palić ssak ona min kupić,4,pan Maks Małyszka,1973,True,,44,9
978-0-01-996296-4,2,Istnienie wchodzić wakacje Szwajcaria płyn,5,Sara Mleczak,1992,True,847,28,1
978-0-8235-1934-7,1,Ramię jednak moralny republika,1,Wiktor Broncel,1956,True,115,3,2
978-0-9648640-0-9,2,Religijny pokarm kilka,3,Bartek Seweryniak,1992,False,421,40,1
978-1-57578-814-2,3,Otwierać czyli dusza próbować zboże,3,Tadeusz Majewicz,2002,True,557,29,5
978-0-7392-5104-1,1,Motyl słońce,2,pan Ernest Igras,2008,False,194,28,10
978-0-7243-7594-3,2,Podróż obchodzić dziadek,,Melania Ćmiel,1980,True,890,30,8
978-1-58615-357-1,3,Uśmiech popularny zdolny odważny,,Sandra Cader,1958,False,388,35,5
978-1-373-72013-9,2,Wiadomość rozwój Europa uśmiech październik,,Jan Moj,2015,True,349,8,3
978-1-193-00148-7,1,Składnik powieść ryzyko panować skała,,Kajetan Klinger,1994,False,900,7,10
978-1-5098-9712-4,2,Słowo jako płynąć pełny zdanie wczoraj występować cesarz sprzedaż,4,Maciej Pusz,2001,True,998,28,5
978-0-697-13252-9,3,Wielkość rosyjski zbudować zawodnik wilk typowy pszczoła,4,Maciej Chabior,1996,True,102,7,1
978-1-241-38452-4,2,Kiedyś,,pan Gabriel Hadaś,1955,True,365,31,4
978-0-14-354225-4,1,Samochodowy Francja noga zasada potrzebować połączyć społeczny kolej próba Stany Zjednoczone,,Norbert Woszczak,1960,True,216,15,6
978-0-412-11224-9,1,Amerykański Jezus partia narkotyk przyjąć jasny głupota zwycięstwo europejski,2,pani Anastazja Stożek,1959,True,923,14,3
978-1-152-60059-1,3,Zachód Egipt bieg wchodzić kij,3,Urszula Krzyk,2001,False,992,13,10
978-0-926135-56-7,3,Obwód zabawa wyrażenie niewielki aby,3,Natasza Węgrzynowicz,1966,True,612,26,7
978-1-55821-286-2,2,Kość upadek gotowy średniowieczny,4,pan Juliusz Olearczyk,1962,True,,32,10
978-1-08-083489-1,3,Lek Warszawa szósty sukienka w wyniku tłum,5,pani Marcelina Wojtaszak,2010,True,337,28,9
978-1-59012-036-1,3,Poznać cisza koncert użyć wybór panować widoczny,,Kornelia Tereszkiewicz,2025,False,534,12,7
978-1-61489-083-6,2,Babka,3,pan Mikołaj Januszko,2024,False,134,23,7
978-1-874790-98-3,2,Piec związać łączyć przyjmować przybyć delikatny,2,Szymon Ostasz,1989,True,485,12,3
978-1-268-06353-2,1,Miejsce Indie w szary blady gość,5,Fabian Strzoda,1994,True,330,36,2
978-0-637-32119-8,3,Samica jabłko słownik,1,Adrian Bieszke,1965,False,209,4,5
978-1-61431-327-4,1,Przyjmować podać,3,Elżbieta Koss,1984,True,831,33,10
978-0-250-41812-1,2,Ciężar ona przypominać Ukraina drugi oddać żona szary czwartek przynosić,5,Aleks Romaniak,1985,False,742,4,2
978-1-5103-1768-0,2,Stopień ksiądz słaby,,Piotr Samol,1995,False,268,16,9
978-1-5415-3043-0,2,Farba przedsiębiorstwo budzić mnóstwo rzeka r warstwa,5,Olgierd Konsek,2016,True,404,32,7
978-0-8195-5970-8,3,Nauczycielka,1,Marcelina Klemens,1972,False,349,39,8
978-0-13-376648-6,1,Odbywać Się zapalenie,5,pani Ewelina Otremba,2022,True,783,8,4
978-0-7414-3912-3,3,Wieś operacja jezioro niebezpieczeństwo,5,Urszula Jędrak,1968,False,737,31,5
978-1-158-49088-2,3,Ciąża zupełnie gardło powszechny szósty,1,pan Iwo Sierżant,1983,True,576,50,1
978-1-71993-718-4,2,Działalność gdzieś siła współczesny zajęcie pytać,4,Cyprian Stoch,1985,False,663,2,6
978-1-905172-82-5,3,Naukowiec wysoki,,Jędrzej Moryc,1965,True,556,6,10
978-0-232-47504-3,3,Uznawać go 50 czwarty wygląd,,Roksana Doroz,1989,False,308,4,10
978-0-551-78524-3,1,No całkowicie szanowny sieć pojęcie postawa stary przyjaciel,,Marcelina Komander,1998,True,375,43,10
978-0-7737-8765-0,2,Słowacja czapka anioł,5,Sara Rasała,1978,True,566,46,8
978-1-991830-29-6,1,By rzeka czwarty słońce,,pan Karol Bejnarowicz,1968,False,,44,1
978-0-532-51448-0,2,Królowa kolacja okropny klasztor wiosna jasny,1,Julita Delekta,2020,False,503,4,10
978-0-536-54658-6,3,Figura deska spowodować lud dach,5,Jakub Sapa,1976,True,332,47,4
978-1-289-73729-0,3,Element biskup z na,2,pani Dagmara Zatoń,2001,False,632,48,5
978-0-660-10510-9,2,Pani kolacja,2,Ernest Bluszcz,1951,False,948,22,9
978-1-941739-82-2,2,Błoto znak prowadzić grupa powoli,3,Tobiasz Jarczak,2009,False,548,44,2
978-1-207-72158-5,1,Ssak pokój cel czyli,1,Maks Panicz,1954,False,114,6,9
978-0-87308-417-8,2,Palec bawić się państwo poprzedni niektóry,5,pani Sandra Sornat,1986,False,957,33,1
978-1-64388-665-7,1,Trzydziesty przebywać Jezus martwy wątpliwość przeciwny fabryka,2,Marika Halik,1952,False,271,22,10
978-0-7639-5244-0,1,Pieniądz popularny chiński zawsze dwa,,Anita Bilewicz,2001,True,878,8,4
978-0-531-40253-5,1,Szwecja dolny własny gra organ,,Tomasz Stoltman,1968,False,331,40,5
978-1-966685-48-7,1,Matematyka powodować teoria niezwykły opłata kieszeń deska zbiór jaki ramię kultura,2,Kaja Musiała,1969,True,,36,10
978-1-290-81456-0,1,Sprzęt istnienie choroba deska zachowanie zawodowy,4,Rozalia Kapcia,2007,False,,24,5
978-0-382-31037-9,2,Wzór polityczny styczeń on królowa,,Mariusz Miozga,1972,False,1000,34,10
978-0-7431-5108-5,2,Tworzyć drapieżny korona,3,Anita Zaranek,1950,False,,50,7
978-1-144-47572-5,1,Dodatkowy lęk zachowywać się robota,2,pani Melania Kruszka,2024,False,692,50,9
978-1-169-06818-6,1,Wojskowy bycie dokładnie skutek oś,2,Adrian Kolarz,1969,True,273,16,7
978-1-64971-122-9,3,5 mi świadczyć katolicki morze otrzymywać,1,Norbert Wiciak,1991,False,,20,2
978-0-266-07259-1,1,Deszcz pokonać w końcu daleki,5,pani Dorota Kubieniec,1992,True,499,27,2
978-1-5329-3013-3,2,Pomidor on Stany Zjednoczone mięso miejski listopad,,Wojciech Makaruk,1992,False,758,44,9
978-0-02-781856-7,1,Lato flaga wystawa mój upadek zbierać ta,3,Marianna Pałgan,1955,False,831,40,10
978-1-204-32239-6,3,Wybitny wyglądać fabryka przybyć róża z krwi i kości cisza,4,pani Julianna Choroś,2007,True,651,36,4
978-1-4430-3989-5,2,Narzędzie dzisiaj 5 miękki blisko ostry motyl,5,pani Julianna Wejman,2019,True,901,44,2
978-1-113-11992-6,3,Rumunia ciecz,,Stefan Karmelita,1997,False,596,2,4
978-0-8404-6131-5,1,Tysiąc bilet znany metal jasny Rumunia palec,4,Eryk Marcol,2013,False,217,4,10
978-0-85254-653-6,3,Strefa gdzie obiekt,,Adam Jędrys,1972,True,,41,2
978-0-18-260378-7,3,Francuski minuskuła fałszywy ten sam zostać studia,,Krystian Breguła,1971,True,446,30,1
978-1-69225-922-8,1,Dorosły rozwiązanie żeby oddział obecnie,2,Wiktor Kaluga,1979,True,186,1,5
978-0-07-740330-0,3,Żelazo palić strumień metal bajka,5,Tymon Szmaj,1983,False,966,39,3
978-1-86304-226-0,2,Kontynent walczyć polegać częściowo,3,Cezary Pyć,1983,True,525,6,6
978-0-12-580110-2,1,Kończyć muzeum pojemnik skóra lecz podnosić,,pan Gabriel Kopała,1991,False,816,39,9
978-1-00-962666-8,3,Postępować armia brudny Jan,1,Tymon Harasimiuk,1999,True,200,20,9
978-0-07-631062-3,3,Sam wykonywać Jezus kurs narodowy broda,,Ryszard Schubert,1965,False,817,12,8
978-1-03-340562-8,2,Prawny firma wolność rana środek,4,Krystian Wojtoń,1998,True,368,23,5
978-0-633-34645-4,2,Decyzja taki krzew komputer wojskowy ziemski zachowywać się teatr młody,2,Eryk Adamaszek,1977,False,667,36,5
978-1-190-08113-0,2,Sposób przejaw uprawiać 50 handlowy nocny,3,Hubert Bitner,1991,True,256,25,7
978-0-85812-303-8,2,Promień np r,,pani Julianna Lewko,1973,True,,30,5
978-0-204-13881-5,1,Mowa organizm biedny pasmo dokładnie czasem piwo,1,Kalina Aleksandrzak,1977,False,630,31,4
978-1-85709-283-7,2,O powstać drzewo niektóry publiczny położyć nosić Morze Śródziemne domowy twarz,1,pan Witold Kozon,2004,False,205,22,5
978-0-363-29045-4,1,Tu okres jedenaście,,Damian Serzysko,1975,True,890,30,1
978-0-394-42956-4,3,Polski otrzymywać suma obcy państwowy fizyczny policjant,,pani Eliza Witos,1953,False,120,40,5
978-0-7651-3330-4,1,Naukowy,,pani Aniela Lalak,1972,False,885,8,5
978-1-70745-202-6,1,Kaczka ubogi dotyczyć,4,pan Stanisław Trzpil,1987,True,641,39,4
978-1-227-95750-6,1,Wybrzeże szczególny studiować wrzesień pozwalać znać delikatny,4,Wiktor Lenarcik,1950,False,476,37,4
978-0-318-42459-0,3,Zanim być pomóc działalność wszystkie minister uderzenie tradycja 1 lęk,2,Marcelina Pazdan,1976,False,509,41,6
978-1-60636-355-3,1,Zachowanie świat futro,4,Melania Kęsek,1967,True,,33,6
978-1-05-035624-8,1,Zamiar ulegać dawać ? przychodzić but nos,1,pani Bianka Misior,2005,True,353,16,10
978-1-63171-913-4,2,Urodzić piłka nożna zachowanie,,Ryszard Miros,2010,True,481,43,8
978-0-417-87286-5,3,Z Krwi I Kości zarówno część gazeta czasownik cesarz,,pan Gabriel Sztaba,1989,True,437,49,6
978-0-458-54193-5,2,Jeżeli cały naj- rachunek 80,1,Leonard Kuźnia,2024,False,817,20,7
978-1-4895-1086-0,1,Sprawiać toponim mądry,3,Marcelina Kunert,1986,False,826,32,7
978-0-15-565471-6,1,Rodzic strefa,,Sara Deluga,1972,True,,49,3
978-0-10-247018-5,2,Gdy składnik dolny,4,Oskar Łosiak,2011,True,632,26,4
978-1-74138-745-2,3,Wczesny Szwecja wspólny przeszłość przechodzić wychodzić,,Nela Jeszka,1983,False,,7,4
978-1-06-852876-7,1,Japonia przyjemność kostka międzynarodowy prosty,3,Sebastian Paprotny,2014,True,684,28,4
978-1-72353-438-6,2,Zgadzać Się ukraiński,,Apolonia Drynda,2013,True,466,35,8
978-0-8397-8834-8,3,Wieża określony,4,Kalina Potok,2022,True,575,42,10
978-1-884414-24-4,3,Dziki rzymski jedzenie typ,3,Janina Mudlaff,1980,False,926,36,1
978-1-5331-3155-3,3,Żona jeszcze urzędnik kula,5,Julita Golus,1961,True,,36,6
978-0-222-25132-9,1,Prawie bać się,4,Franciszek Pszczółka,1996,False,971,5,8
978-1-5436-8274-8,1,Jan wzdłuż europejski,,Cyprian Kurz,1992,True,658,12,4
978-0-462-70727-3,3,Drewno kłaść łagodny,5,Malwina Nalazek,1993,False,,49,6
978-0-18-357061-3,3,Pora Unia Europejska dość lato specjalny,,Justyna Kunysz,2015,True,326,39,1
978-0-472-61150-8,2,Syn profesor,,Angelika Handke,1951,False,637,43,7
978-1-63858-339-4,1,Organizacja łyżka,3,Tymoteusz Witkowicz,1954,True,211,13,2
978-1-5030-3531-7,1,Przybyć dzisiejszy wiosna handel,5,Olga Burzawa,2019,False,104,3,6
978-1-324-53382-5,3,Zapis ? telewizja obraz strój,5,pani Aurelia Mleczak,2003,True,804,12,5
978-1-938361-04-3,2,Chemiczny sylaba flaga lek łaciński,4,Igor Lula,1953,True,222,20,10
978-1-86605-191-7,1,Wyjść rząd zanim słownik operacja,,pan Krzysztof Kościelak,1959,True,,50,3
978-1-9862-3331-6,1,Szybki małżeństwo dlatego dodatek otaczać rodzaj,5,Fabian Długozima,2008,True,159,33,9
